number,address,description
1037095,5050 35TH AVE NE,ST 3/25/16 Vegetation encroaches sidewalk and street. Sidewalk to be clear concrete edge to concrete edge up to 8 ft. above sidewalk and street to be clear up to 14 ft. above street.
1037094,6546 DIBBLE AVE NW,03/25/2016 ED- Illegal unit in basement.
1037093,3706 47TH PL NE,3/25/16 Vegetation encroaches sidewalk and street. Sidewalk to be clear concrete edge to concrete edge up to 8 ft. above sidewalk and street to be clear up to 14 ft. above street.
1037092,10784 68TH AVE S,Bradrick 3.25.16 Outdoor junk storage and parking violations.
1037091,719 23RD AVE,Bradrick 3.25.16 Someone dumped a refrigerator on the lot.
1037090,12242 PALATINE AVE N,"Complete gut of main floor; new framing & new window wells in basement; electrical, plumbing, mechanical all without permits & inspections."
1037090,12242 PALATINE AVE N,"Complete gut of main floor; new framing & new window wells in basement; electrical, plumbing, mechanical all without permits & inspections."
1037089,11025 LAKE CITY WAY NE,ST 3/24/16 Someone living in tent on property. Use is not allowed.
1037088,2551 S RAYMOND ST,"Remodeling a Single Family Residence (SFR) including, but not limited to, adding a kitchen, adding 3 bathrooms, adding 7 bedrooms, building an addition across the rear of the SFR and constructing a structure larger than 120 sq.ft. requires a permit & inspections from SDCI."
1037087,5921 34TH AVE SW,"Vacant, Closed, Violation--cut vegetation on the property."
1037087,5921 34TH AVE SW,"Vacant, Closed, Violation--cut vegetation on the property."
1037086,524 6TH AVE W,03/24/2016 ED- Holes in walls. Some moisture coming through.
1037085,3827 33RD AVE SW,"3/22/16 rf Observed outdoor junk storage of various items including but not limited to full trash bags, building materials, debris and rubbish."
1037084,2500 SW TRENTON ST,Removing and rebuilding decks on a 3-story 56 unit apartment building requires permits and inspections from SDCI. STOP WORK ORDER posted 3/23/16.
1037083,322 20TH AVE,Bradrick 3.24.16 No Heat
1037082,2900 NE BLAKELEY ST,"Interior alterations including but not limited to construction, mechanical and electrical in existing commercial space requires permits & inspections."
1037081,801 5TH AVE,"Int Insp 3/23/16 DG  JTM Construction is working at 801 5th Ave. They were making noise at 1:15am. Iron workers were yelling continually, workers were hammering, and crew was using a personal manlift with pure tone alarms going off. I asked a JTM employee who was in charge, apparently they had a iron worker boss and a JTM supervisor. I didn't talk to any of them, they never were identified. I am writing a noise citation for construction that took place after 10pm wihtout a permit."
1037080,2305 24TH AVE S,An illegal unit.
1037079,5703 40TH AVE NE,ST 3/23/16 Cars are parked in required side yard and need to be moved.
1037078,3813 19TH AVE SW,Land Use Code Violation.  Junk Storage and inoperable vehicle.
1037077,418 NE 92ND ST,"rs 03-23-16  Over the minimum limits of 8 domestic fowl. The  rooster is allowed, based on the rooster was on the property prior to the code was enacted.  Junk storage noted throughout the property."
1037076,3652 S ANDOVER ST,Land Use Code Violation.  Outdoor junk and storage.
1037075,4201 37TH AVE S,Land Use Code Violation.  Outdoor Junk and Storage.
1037074,8331 WABASH AVE S,Housing and Building Maintenance Code Violation.
1037073,3227 14TH AVE W,ST 3/23/16 HBMC violations
1037052,1808 24TH AVE E,03/21/2016 ED- Vehicle parked in required front yard.
1036157,4204 RAINIER AVE S,Junk storage
1037072,801 5TH AVE,"Int Insp 3/23/16 DG  JTM Construction is working at 801 5th Ave. They were making noise at 1:15am. Iron workers were yelling continually, workers were hammering, and crew was using a personal manlift with pure tone alarms going off. I asked a JTM employee who was in charge, apparently they had a iron worker boss and a JTM supervisor. I didn't talk to any of them, they never were identified. I am writing a noise citation for construction that took place after 10pm wihtout a permit."
1037070,3411 35TH AVE SW,Temporary Erosion & Sedimentation Control (TESC) is adequate as of 3/23/16. There was erosion from exposed soil where ivy was removed from the top of an existing rockery.
1037069,3844 29TH AVE W,Demolition and construction (foundation work including new pin piles) without permits and inspections.
1037068,5210 18TH AVE SW,12/18/15 Vacant building violations
1037067,4515 S ANGELINE ST,Constructing/reconstructing a carport structure in the required west side yard requires a permit & inspections from SDCI (if allowed) or removal.
1037066,11524 GREENWOOD AVE N,Application for a Tenant Relocation License: Total units: 2; toal units occupied: 2.  Demolition.
1037065,6546 DIBBLE AVE NW,Permit 6524151 issued 4/7/16 for work begun w/o permits & inspections.
1037064,121 W MERCER ST,03/02/16 Vacant building violations
1037063,5014 19TH AVE NE,ST 3/22/16 Bike rack not allowed in required yard.
1037062,2703 E UNION ST,Downspout from 3-story building being routed to alley edge. Either a permit & inspections OR removal of the pipe are required.
1037061,2328 MINOR AVE E,TESC is not per the approved plans under permit 6456706. Soil to be stored onsite and protected w/fencing.
1037060,154 NE 115TH ST,rs 03-21-16   Inoperative junk vehicle parked half on ROW and rear yard.
1037059,7701 8TH AVE NW,03/21/2016 ED- Structure in required side yard.
1037058,2410 BOYER AVE E,ST 3/21/16 Elevator is not operational.
1037057,417 WARD ST,03/21/2016 ED- Illegal Unit.
1037056,6912 46TH AVE S,Vacate Order - no heat
1037055,2401 4TH AVE S,Changing image sign violation (Mc Donald's). Image changes more often than 7 times per minute and violates Permit 6220831 and SMC 23.55.036A.
1037054,12327 PINEHURST WAY NE,"rs 03-21-16   Junk storage on property, not limited to tires, grocery cart, dog crate, inoperable vehicles."
1037053,1214 S WALKER ST,Land Use Code Violation.  Junk Storage and Inoperable Vehicles.
1037051,2351 10TH AVE E,Permit 6529523 issued 4/15/16 to repair/replace unsafe electrical wiring on roof.
1037050,2806 NW 57TH ST,"03/21/2016 ED- tent structure built in front yard, parking in front yard."
1037049,2108 N 128TH ST,Violation of the Just Cause Eviction Ordinance (Seattle Municipal Code Section 22.206.160.C.)
1037048,546 NE 88TH ST,Exceptional tree (Shore Pine) has been removed; plans indicated that this tree was to be protected under permit 6446488. Revised plans to be submitted w/updated GSI & explanantion for emergency tree removal.
1037047,7510 21ST AVE NE,Compliance achieved 3/15/16 by removing items from the root zone of protected exceptional tree.
1037046,2314 E SPRING ST,Land Use Code Violation - encampment
1037045,2609 E JOHN ST,Unfit Abatement
1037044,410 FEDERAL AVE E,03/18/16 Vacant building violations
1037043,5033 49TH AVE S,"Finishing an unfinished basement, cutting new windows into foundation, removing wall(s) on main floor, installing a new furnace & A/C requires permits and inspections from SDCI."
1037043,5033 49TH AVE S,"Finishing an unfinished basement, cutting new windows into foundation, removing wall(s) on main floor, installing a new furnace & A/C requires permits and inspections from SDCI."
1037042,1257 S CLOVERDALE ST,HBMC VIOLATION-EO (WATER SERVICE DISCONNECTED)
1037041,3844 COURTLAND PL S,3/16/16 sh. Land Use Code Violation. Junk Storage.
1037040,1418 37TH AVE,Bradrick 3.17.16 Egregious outdoor junk storage on the property.
1037040,1418 37TH AVE,Bradrick 3.17.16 Egregious outdoor junk storage on the property.
1037039,8306 WABASH AVE S,Bradrick 3.17.16 Outdoor junk storage in the rear of the property.
1037038,14211 37TH AVE NE,rs 03-17-16  Homeowner is allowing 1 tent to encamp in the rear yard.
1037037,9022 VALDEZ AVE S,Weeds and Vegetation Ordinance Violation.
1037036,4520 21ST AVE NE,"ST 2/12/16 Vegetation encroaches sidewalk. Sidewalk to be clear concrete edge to concrete edge up to 8 feet above sidewalk and clear of vegetation, dirt, cut foilage and leaves. All junk storage including but not limited to trash, cups and other rubbish to be removed from property."
1037035,418 W BARRETT ST,03/16/16 - Vacant building violations
1037034,1220 BOYLSTON AVE,Housing and Bldg Maintenance Code Violation
1037033,3428 10TH AVE W,Work in basement is not included under existing STFI permit 6268107. Appears to be adding ADU in basement. Obtain revised permit or submit a new permit to establish ADU and perform build out.
1037032,11338 28TH AVE NE,rs 03-16-16  Overgrown vegetation onto ROW of street.
1037031,12737 35TH AVE NE,rs 03-16-16   Overgrown vegetation onto the ROW of sidewalk.
1037030,11551 4TH AVE NW,Footings relocated and inspected on 3/24/16 - work proceeds under permit 6425649.
1037029,3418 NE 65TH ST,ST 3/16/16 HBMC violations.
1037028,753 N 84TH ST,Issuance of Owner's Certification of Occupancy or No Displacement.
1037027,4415 SW JUNEAU ST,3/14/16 rf Observed subject property to not be in compliance.
1037026,8050 11TH AVE NW,As of 3/14/16 TESC is per the approved plans under permit 6474484.
1037025,8010 25TH AVE NW,03/15/2016 ED- Illegal unit on property.
1037024,6251 5TH AVE NW,01/17/14 Vacant building violations
1037023,2350 N 115TH ST,HBMC VIOLATIONS-(HOUSING)
1037022,11045 35TH AVE NE,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C).
1037021,4116 E MADISON ST,Approx 1/3 of roof of commercial building is collapsing. Structural engineer's report is required to demonstrate that 4114 Tenant (Nail Salon) can safely occupy the space. NE wall is bowed due to loss of roof diaphragm. Permits and inspections are required to repair or remove failed roof.
1037020,1117 W HOWE ST,03/15/2016 ED- Junk storage found on property.
1037019,918 W MCGRAW ST,03/15/2016 ED- HEDGE ENCROACHING ON PROW.
1037018,357 NW 90TH ST,03/15/2016 ED- Junk storage found on property.
1037017,513 19TH AVE,Land Use Code Violation - outdoor junk storage
1037016,8419 GREENWOOD AVE N,Hazardous: Limited Entry. Tenant & owner access only; no public access. Structural Engineer's report required to be submitted to SDCI for evaluation. Permits & Inspections Required as needed.
1037015,10131 3RD AVE NW,03/15/2016 ED- Leaking water heater.
1037014,8403 GREENWOOD AVE N,Hazardous: Limited Entry. Tenant & owner access only; no public access. Structural Engineer's report required to be submitted to SDCI for evaluation. Permits & Inspections Required as needed.
1037013,8400 8TH AVE NW,03/08/2016 ED- Junk Vehicles found on property.
1037013,8400 8TH AVE NW,03/08/2016 ED- Junk Vehicles found on property.
1037012,7468 4TH AVE NE,ST 3/15/16 Motor vehicles can not be parked in required front yard.
1037011,213 N 85TH ST,Hazardous: Limited Entry. Tenant & owner access only; no public access. Structural Engineer's report required to be submitted to SDCI for evaluation. Permits & Inspections Required as needed.
1037010,3600 26TH PL W,03/15/2016 ED- Violation of HBMC.
1037009,2350 N 115TH ST,LAND USE CODE VIOLATION-OUTDOOR JUNK STORAGE
1037008,8012 36TH AVE NE,"ST 3/15/16 Junk storage must be removed including but not limited to refrigerator, filled plastic bags, used materials, loose wood and any trash."
1037007,UNADDRESSABLE,"Int Insp 3/11/16 DG I made a site inspection last night, Infrasource was working in street right of way after 10pm without a noise variance. Steve Sada of Infrasource thought Gene Um had taken out an extension of a previous noise variance. He looked at the noise variance he had in his notebook, it was expired a week ago. I am writing a noise citation for work after 10pm without a noise variance"
1037006,12315 28TH AVE NE,"ST 3/14/16 Junk storage near alley including but not limited to a mattress, other furniture, appliances, cardboard, and other trash and used materials."
1037005,4142 SW ELMGROVE ST,3/9/16 rf Observed subject property to not be in compliance.
1037004,6722 15TH AVE NW,Work is not per the approved plans under permit 6412407; Plans required rated assemblies at the North & South sides.
1037003,4013 LEARY WAY NW,Interior work was confirmed as electrical only. Permit 6525290 issued 3/22/16 to repair/replace vandalized electrical wiring.
1037002,3638 MERIDIAN AVE N,Permit 6524520 issued 3/23/16 for work begun w/o permits & inspections.
1037001,3503 SW MONROE ST,3/8/16 rf Observed overgrown vegetation encrocing onto sidewalk.
1037000,6249 FLORA AVE S,02/25/16 DW Observed motor home attached the hugh metal structure/garage. There's a blus trap on the top side of the motor inside the wooden fence.I was unable to confrim someone living in the trailer. I will request an inspection to determine if any violations exists on the site.
1036999,7322 32ND AVE SW,3/8/16 rf Observed outdoor subject property to not be in compliance.
1036966,3613 S FINDLAY ST,"Bradrick 3.6.16 Outdoor junk, litter, trash and garbage."
1036998,7920 RAINIER AVE S,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(3) - Failure to state just cause reason on the notice to terminate tenancy.
1036998,7920 RAINIER AVE S,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(3) - Failure to state just cause reason on the notice to terminate tenancy.
1036997,2350 N 115TH ST,"Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1).  Notice to comply or vacate based on late penalty.  Penalty unenforceable under Wallace Real Estate Investments v. Groves, 881 P.2d 1010 (1994)."
1036996,3020 NE 127TH ST,rs 03-14-16  Light and glare from loading dock area of Grocery Outlet onto nearby multi-residential building.
