id,case_type,description,case_group
284,CONSTRUCTION,Retaining walls over 4 ft in height constructed in front yard; deck in backyard constructed up to PL (in required setback) without permits and inspections.,BUILDING
285,HOUSING / ZONING,"Caller says additional tables have been added at the lower level of Rays, an unallowed expansion of use in the shoreline zone.",ZONING
286,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition.,TENANT RELOCATION ASSIST ORD
287,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 2; Total units occupied: 2.  Demolition.,TENANT RELOCATION ASSIST ORD
288,CITATION,ST 3/25/16 Vegetation encroaches street. Street to be clear up to 14 ft. above street.,WEEDS AND VEGETATION
289,HOUSING / ZONING,rs 03-25-16  Illegal dwelling unit (basement) in single family structure w/i single family zone.,ZONING
290,CONSTRUCTION,Remodeling a commercial space into an art gallery (Center on Contempory Art) requires a permit and inspections from SDCI.,BUILDING
291,CITATION,ST 3/25/16 Vegetation encroaches sidewalk and street. Sidewalk to be clear concrete edge to concrete edge up to 8 ft. above sidewalk and street to be clear up to 14 ft. above street.,WEEDS AND VEGETATION
292,CITATION,ST 3/25/16 Vegetation encroaches sidewalk and street. Sidewalk to be clear concrete edge to concrete edge up to 8 ft. above sidewalk and street to be clear up to 14 ft. above street.,WEEDS AND VEGETATION
293,HOUSING / ZONING,03/25/2016 ED- Illegal unit in basement.,ZONING
294,CITATION,3/25/16 Vegetation encroaches sidewalk and street. Sidewalk to be clear concrete edge to concrete edge up to 8 ft. above sidewalk and street to be clear up to 14 ft. above street.,WEEDS AND VEGETATION
295,CITATION,Bradrick 3.25.16 Outdoor junk storage and parking violations.,ZONING
296,CITATION,Bradrick 3.25.16 Someone dumped a refrigerator on the lot.,ZONING
297,CONSTRUCTION,"Complete gut of main floor; new framing & new window wells in basement; electrical, plumbing, mechanical all without permits & inspections.",BUILDING
298,CONSTRUCTION,"Complete gut of main floor; new framing & new window wells in basement; electrical, plumbing, mechanical all without permits & inspections.",BUILDING
299,HOUSING / ZONING,ST 3/24/16 Someone living in tent on property. Use is not allowed.,ZONING
300,CONSTRUCTION,"Remodeling a Single Family Residence (SFR) including, but not limited to, adding a kitchen, adding 3 bathrooms, adding 7 bedrooms, building an addition across the rear of the SFR and constructing a structure larger than 120 sq.ft. requires a permit & inspections from SDCI.",BUILDING
301,CITATION,"Vacant, Closed, Violation--cut vegetation on the property.",ZONING
302,CITATION,"Vacant, Closed, Violation--cut vegetation on the property.",ZONING
303,HOUSING / ZONING,03/24/2016 ED- Holes in walls. Some moisture coming through.,HOUSING
304,CITATION,"3/22/16 rf Observed outdoor junk storage of various items including but not limited to full trash bags, building materials, debris and rubbish.",ZONING
305,CONSTRUCTION,Removing and rebuilding decks on a 3-story 56 unit apartment building requires permits and inspections from SDCI. STOP WORK ORDER posted 3/23/16.,BUILDING
306,HOUSING / ZONING,Bradrick 3.24.16 No Heat,HOUSING
307,CONSTRUCTION,"Interior alterations including but not limited to construction, mechanical and electrical in existing commercial space requires permits & inspections.",BUILDING
308,CITATION,"Int Insp 3/23/16 DG  JTM Construction is working at 801 5th Ave. They were making noise at 1:15am. Iron workers were yelling continually, workers were hammering, and crew was using a personal manlift with pure tone alarms going off. I asked a JTM employee who was in charge, apparently they had a iron worker boss and a JTM supervisor. I didn't talk to any of them, they never were identified. I am writing a noise citation for construction that took place after 10pm wihtout a permit.",CONSTRUCTION NOISE
309,HOUSING / ZONING,An illegal unit.,ZONING
310,CITATION,ST 3/23/16 Cars are parked in required side yard and need to be moved.,ZONING
311,CITATION,Land Use Code Violation.  Junk Storage and inoperable vehicle.,ZONING
312,CITATION,"rs 03-23-16  Over the minimum limits of 8 domestic fowl. The  rooster is allowed, based on the rooster was on the property prior to the code was enacted.  Junk storage noted throughout the property.",ZONING
313,CITATION,Land Use Code Violation.  Outdoor junk and storage.,ZONING
314,CITATION,Land Use Code Violation.  Outdoor Junk and Storage.,ZONING
315,HOUSING / ZONING,Housing and Building Maintenance Code Violation.,HOUSING
316,HOUSING / ZONING,ST 3/23/16 HBMC violations,HOUSING
317,CITATION,03/21/2016 ED- Vehicle parked in required front yard.,ZONING
318,HOUSING / ZONING,Junk storage,ZONING
319,CITATION,"Int Insp 3/23/16 DG  JTM Construction is working at 801 5th Ave. They were making noise at 1:15am. Iron workers were yelling continually, workers were hammering, and crew was using a personal manlift with pure tone alarms going off. I asked a JTM employee who was in charge, apparently they had a iron worker boss and a JTM supervisor. I didn't talk to any of them, they never were identified. I am writing a noise citation for construction that took place after 10pm wihtout a permit.",CONSTRUCTION NOISE
320,CONSTRUCTION,Temporary Erosion & Sedimentation Control (TESC) is adequate as of 3/23/16. There was erosion from exposed soil where ivy was removed from the top of an existing rockery.,SITE
321,CONSTRUCTION,Demolition and construction (foundation work including new pin piles) without permits and inspections.,BUILDING
322,HOUSING / ZONING,12/18/15 Vacant building violations,VACANT BUILDING
323,CONSTRUCTION,Constructing/reconstructing a carport structure in the required west side yard requires a permit & inspections from SDCI (if allowed) or removal.,BUILDING
324,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License: Total units: 2; toal units occupied: 2.  Demolition.,TENANT RELOCATION ASSIST ORD
325,CONSTRUCTION,Permit 6524151 issued 4/7/16 for work begun w/o permits & inspections.,BUILDING
326,HOUSING / ZONING,03/02/16 Vacant building violations,VACANT BUILDING
327,CITATION,ST 3/22/16 Bike rack not allowed in required yard.,ZONING
328,CONSTRUCTION,Downspout from 3-story building being routed to alley edge. Either a permit & inspections OR removal of the pipe are required.,SITE
329,CONSTRUCTION,TESC is not per the approved plans under permit 6456706. Soil to be stored onsite and protected w/fencing.,SITE
330,CITATION,rs 03-21-16   Inoperative junk vehicle parked half on ROW and rear yard.,ZONING
331,CITATION,03/21/2016 ED- Structure in required side yard.,ZONING
332,HOUSING / ZONING,ST 3/21/16 Elevator is not operational.,HOUSING
333,HOUSING / ZONING,03/21/2016 ED- Illegal Unit.,ZONING
334,HOUSING / ZONING,Vacate Order - no heat,HOUSING
335,CONSTRUCTION,Changing image sign violation (Mc Donald's). Image changes more often than 7 times per minute and violates Permit 6220831 and SMC 23.55.036A.,SIGNS
336,CITATION,"rs 03-21-16   Junk storage on property, not limited to tires, grocery cart, dog crate, inoperable vehicles.",ZONING
337,CITATION,Land Use Code Violation.  Junk Storage and Inoperable Vehicles.,ZONING
338,CONSTRUCTION,Permit 6529523 issued 4/15/16 to repair/replace unsafe electrical wiring on roof.,ELECTRICAL
339,CITATION,"03/21/2016 ED- tent structure built in front yard, parking in front yard.",ZONING
340,HOUSING / ZONING,Violation of the Just Cause Eviction Ordinance (Seattle Municipal Code Section 22.206.160.C.),JUST CAUSE EVICTION
341,CONSTRUCTION,Exceptional tree (Shore Pine) has been removed; plans indicated that this tree was to be protected under permit 6446488. Revised plans to be submitted w/updated GSI & explanantion for emergency tree removal.,SITE
342,CONSTRUCTION,Compliance achieved 3/15/16 by removing items from the root zone of protected exceptional tree.,SITE
343,HOUSING / ZONING,Land Use Code Violation - encampment,ZONING
344,UNFIT BUILDING OR PREMISES,Unfit Abatement,BUILDING AND PREMISES
345,HOUSING / ZONING,03/18/16 Vacant building violations,VACANT BUILDING
346,CONSTRUCTION,"Finishing an unfinished basement, cutting new windows into foundation, removing wall(s) on main floor, installing a new furnace & A/C requires permits and inspections from SDCI.",BUILDING
347,CONSTRUCTION,"Finishing an unfinished basement, cutting new windows into foundation, removing wall(s) on main floor, installing a new furnace & A/C requires permits and inspections from SDCI.",BUILDING
348,HOUSING / ZONING,HBMC VIOLATION-EO (WATER SERVICE DISCONNECTED),HOUSING
349,CITATION,3/16/16 sh. Land Use Code Violation. Junk Storage.,WEEDS AND VEGETATION
350,CITATION,Bradrick 3.17.16 Egregious outdoor junk storage on the property.,ZONING
351,CITATION,Bradrick 3.17.16 Egregious outdoor junk storage on the property.,ZONING
352,CITATION,Bradrick 3.17.16 Outdoor junk storage in the rear of the property.,ZONING
353,HOUSING / ZONING,rs 03-17-16  Homeowner is allowing 1 tent to encamp in the rear yard.,ZONING
354,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
355,CITATION,"ST 2/12/16 Vegetation encroaches sidewalk. Sidewalk to be clear concrete edge to concrete edge up to 8 feet above sidewalk and clear of vegetation, dirt, cut foilage and leaves. All junk storage including but not limited to trash, cups and other rubbish to be removed from property.",WEEDS AND VEGETATION
356,HOUSING / ZONING,03/16/16 - Vacant building violations,VACANT BUILDING
357,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
358,CONSTRUCTION,Work in basement is not included under existing STFI permit 6268107. Appears to be adding ADU in basement. Obtain revised permit or submit a new permit to establish ADU and perform build out.,BUILDING
359,CITATION,rs 03-16-16  Overgrown vegetation onto ROW of street.,WEEDS AND VEGETATION
360,CITATION,rs 03-16-16   Overgrown vegetation onto the ROW of sidewalk.,WEEDS AND VEGETATION
361,CONSTRUCTION,Footings relocated and inspected on 3/24/16 - work proceeds under permit 6425649.,BUILDING
362,HOUSING / ZONING,ST 3/16/16 HBMC violations.,HOUSING
363,TENANT RELOCATION ORDINANCE,Issuance of Owner's Certification of Occupancy or No Displacement.,TENANT RELOCATION ASSIST ORD
364,CITATION,3/14/16 rf Observed subject property to not be in compliance.,ZONING
365,CONSTRUCTION,As of 3/14/16 TESC is per the approved plans under permit 6474484.,SITE
366,HOUSING / ZONING,03/15/2016 ED- Illegal unit on property.,ZONING
367,HOUSING / ZONING,01/17/14 Vacant building violations,VACANT BUILDING
368,HOUSING / ZONING,HBMC VIOLATIONS-(HOUSING),HOUSING
369,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C).,JUST CAUSE EVICTION
370,CONSTRUCTION,Approx 1/3 of roof of commercial building is collapsing. Structural engineer's report is required to demonstrate that 4114 Tenant (Nail Salon) can safely occupy the space. NE wall is bowed due to loss of roof diaphragm. Permits and inspections are required to repair or remove failed roof.,BUILDING
371,CITATION,03/15/2016 ED- Junk storage found on property.,ZONING
372,CITATION,03/15/2016 ED- HEDGE ENCROACHING ON PROW.,WEEDS AND VEGETATION
373,CITATION,03/15/2016 ED- Junk storage found on property.,ZONING
374,CITATION,Land Use Code Violation - outdoor junk storage,ZONING
375,CONSTRUCTION,Hazardous: Limited Entry. Tenant & owner access only; no public access. Structural Engineer's report required to be submitted to SDCI for evaluation. Permits & Inspections Required as needed.,BUILDING
376,HOUSING / ZONING,03/15/2016 ED- Leaking water heater.,HOUSING
377,CONSTRUCTION,Hazardous: Limited Entry. Tenant & owner access only; no public access. Structural Engineer's report required to be submitted to SDCI for evaluation. Permits & Inspections Required as needed.,BUILDING
378,CITATION,03/08/2016 ED- Junk Vehicles found on property.,ZONING
379,CITATION,03/08/2016 ED- Junk Vehicles found on property.,ZONING
380,CITATION,ST 3/15/16 Motor vehicles can not be parked in required front yard.,ZONING
381,CONSTRUCTION,Hazardous: Limited Entry. Tenant & owner access only; no public access. Structural Engineer's report required to be submitted to SDCI for evaluation. Permits & Inspections Required as needed.,BUILDING
382,HOUSING / ZONING,03/15/2016 ED- Violation of HBMC.,HOUSING
383,CITATION,LAND USE CODE VIOLATION-OUTDOOR JUNK STORAGE,ZONING
384,CITATION,"ST 3/15/16 Junk storage must be removed including but not limited to refrigerator, filled plastic bags, used materials, loose wood and any trash.",ZONING
385,CITATION,"Int Insp 3/11/16 DG I made a site inspection last night, Infrasource was working in street right of way after 10pm without a noise variance. Steve Sada of Infrasource thought Gene Um had taken out an extension of a previous noise variance. He looked at the noise variance he had in his notebook, it was expired a week ago. I am writing a noise citation for work after 10pm without a noise variance",CONSTRUCTION NOISE
386,CITATION,"ST 3/14/16 Junk storage near alley including but not limited to a mattress, other furniture, appliances, cardboard, and other trash and used materials.",ZONING
387,CITATION,3/9/16 rf Observed subject property to not be in compliance.,ZONING
388,CONSTRUCTION,Work is not per the approved plans under permit 6412407; Plans required rated assemblies at the North & South sides.,BUILDING
389,CONSTRUCTION,Interior work was confirmed as electrical only. Permit 6525290 issued 3/22/16 to repair/replace vandalized electrical wiring.,BUILDING
390,CONSTRUCTION,Permit 6524520 issued 3/23/16 for work begun w/o permits & inspections.,BUILDING
391,CITATION,3/8/16 rf Observed overgrown vegetation encrocing onto sidewalk.,WEEDS AND VEGETATION
392,HOUSING / ZONING,02/25/16 DW Observed motor home attached the hugh metal structure/garage. There's a blus trap on the top side of the motor inside the wooden fence.I was unable to confrim someone living in the trailer. I will request an inspection to determine if any violations exists on the site.,ZONING
393,CITATION,3/8/16 rf Observed outdoor subject property to not be in compliance.,ZONING
394,CITATION,"Bradrick 3.6.16 Outdoor junk, litter, trash and garbage.",ZONING
395,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(3) - Failure to state just cause reason on the notice to terminate tenancy.,JUST CAUSE EVICTION
